init 1678302689891
Regular_callback3_latency 2112860 0
Regular_callback2_latency 3193667 0
Regular_callback1_latency 4278526 0
Regular_callback3_latency 2118279 1
Regular_callback2_latency 3199202 1
Regular_callback1_latency 4306839 1
Regular_callback3_latency 2111343 2
Regular_callback2_latency 3194243 2
Regular_callback1_latency 4280340 2
Regular_callback3_latency 2107178 3
Regular_callback2_latency 3187832 3
Regular_callback1_latency 4273606 3
Regular_callback3_latency 2109543 4
Regular_callback2_latency 3188168 4
Regular_callback1_latency 4273518 4
Regular_callback3_latency 2118136 5
Regular_callback2_latency 3202117 5
Regular_callback1_latency 4281906 5
Regular_callback3_latency 2114298 6
Regular_callback2_latency 3194207 6
Regular_callback1_latency 4281621 6
Regular_callback3_latency 2109047 7
Regular_callback2_latency 3189307 7
Regular_callback1_latency 4277959 7
Regular_callback3_latency 2106122 8
Regular_callback2_latency 3185705 8
Regular_callback1_latency 4269116 8
Regular_callback3_latency 2114465 9
Regular_callback2_latency 3194214 9
Regular_callback1_latency 4279433 9
Regular_callback3_latency 2108661 10
Regular_callback2_latency 3198000 10
Regular_callback1_latency 4276093 10
Regular_callback3_latency 2108823 11
Regular_callback2_latency 3189156 11
Regular_callback1_latency 4273884 11
Regular_callback3_latency 2109193 12
Regular_callback2_latency 3193283 12
Regular_callback1_latency 4280189 12
Regular_callback3_latency 2110271 13
Regular_callback2_latency 3188285 13
Regular_callback1_latency 4272131 13
Regular_callback3_latency 2115372 14
Regular_callback2_latency 3214349 14
Regular_callback1_latency 4315099 14
Regular_callback3_latency 2114798 15
Regular_callback2_latency 3194612 15
Regular_callback1_latency 4283876 15
Regular_callback3_latency 2122403 16
Regular_callback2_latency 3206204 16
Regular_callback1_latency 4292476 16
Regular_callback3_latency 2106652 17
Regular_callback2_latency 3186003 17
Regular_callback1_latency 4270015 17
Regular_callback3_latency 2112719 18
Regular_callback2_latency 3194945 18
Regular_callback1_latency 4280557 18
Regular_callback3_latency 2111967 19
Regular_callback2_latency 3193890 19
Regular_callback1_latency 4297027 19
Regular_callback3_latency 2150789 20
Regular_callback2_latency 3232462 20
Regular_callback1_latency 4319505 20
Regular_callback3_latency 2107219 21
Regular_callback2_latency 3188686 21
Regular_callback1_latency 4274222 21
Regular_callback3_latency 2106018 22
Regular_callback2_latency 3187726 22
Regular_callback1_latency 4284641 22
Regular_callback3_latency 2122647 23
Regular_callback2_latency 3202448 23
Regular_callback1_latency 4286094 23
Regular_callback3_latency 2118075 24
Regular_callback2_latency 3202422 24
Regular_callback1_latency 4280992 24
Regular_callback3_latency 2121637 25
Regular_callback2_latency 3202126 25
Regular_callback1_latency 4292644 25
Regular_callback3_latency 2105752 26
Regular_callback2_latency 3194305 26
Regular_callback1_latency 4283662 26
Regular_callback3_latency 2108675 27
Regular_callback2_latency 3201426 27
Regular_callback1_latency 4280101 27
Regular_callback3_latency 2114712 28
Regular_callback2_latency 3194925 28
Regular_callback1_latency 4278223 28
Regular_callback3_latency 2117295 29
Regular_callback2_latency 3195876 29
Regular_callback1_latency 4282539 29
Regular_callback3_latency 2122918 30
Regular_callback2_latency 3201092 30
Regular_callback1_latency 4285181 30
Regular_callback3_latency 2121450 31
Regular_callback2_latency 3206035 31
Regular_callback1_latency 4291065 31
Regular_callback3_latency 2115127 32
Regular_callback2_latency 3195535 32
Regular_callback1_latency 4286334 32
Regular_callback3_latency 2114220 33
Regular_callback2_latency 3194831 33
Regular_callback1_latency 4280156 33
Regular_callback3_latency 2111491 34
Regular_callback2_latency 3193430 34
Regular_callback1_latency 4278166 34
Regular_callback3_latency 2109750 35
Regular_callback2_latency 3188856 35
Regular_callback1_latency 4272471 35
Regular_callback3_latency 2128993 36
Regular_callback2_latency 3211208 36
Regular_callback1_latency 4297626 36
Regular_callback3_latency 2119181 37
Regular_callback2_latency 3201194 37
Regular_callback1_latency 4287007 37
Regular_callback3_latency 2107195 38
Regular_callback2_latency 3215667 38
Regular_callback1_latency 4299650 38
Regular_callback3_latency 2111365 39
Regular_callback2_latency 3192718 39
Regular_callback1_latency 4285074 39
Regular_callback3_latency 2117603 40
Regular_callback2_latency 3197464 40
Regular_callback1_latency 4289554 40
Regular_callback3_latency 2113601 41
Regular_callback2_latency 3199545 41
Regular_callback1_latency 4278638 41
Regular_callback3_latency 2111906 42
Regular_callback2_latency 3192374 42
Regular_callback1_latency 4279386 42
Regular_callback3_latency 2107105 43
Regular_callback2_latency 3200091 43
Regular_callback1_latency 4284856 43
Regular_callback3_latency 2128583 44
Regular_callback2_latency 3211059 44
Regular_callback1_latency 4296144 44
